Samples,DEPTH,VP,VS,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOfluid,PHI,LFC
249,2.29E+03,3.21E+03,1.58E+03,7.02E+01,2.94E-01,2.21E+00,1.00E+00,1.00E+00,2.03E+00,7.09E+03,3.49E+03,2.47E-01,2.69E+00,1.09E+00,3.02E-01,4.00E+00
250,2.36E+03,3.09E+03,1.48E+03,6.01E+01,2.87E-01,2.21E+00,1.00E+00,1.00E+00,2.09E+00,6.83E+03,3.27E+03,1.33E-01,2.67E+00,1.09E+00,2.93E-01,1.00E+00
251,2.35E+03,3.21E+03,1.49E+03,7.04E+01,2.87E-01,2.19E+00,1.00E+00,1.00E+00,2.15E+00,7.02E+03,3.26E+03,2.50E-01,2.69E+00,1.09E+00,3.15E-01,4.00E+00
252,2.36E+03,3.12E+03,1.52E+03,6.93E+01,2.94E-01,2.18E+00,8.92E-01,1.00E+00,2.06E+00,6.79E+03,3.30E+03,2.38E-01,2.69E+00,1.06E+00,3.13E-01,4.00E+00
253,2.17E+03,2.80E+03,1.43E+03,6.34E+01,3.32E-01,2.13E+00,2.19E-01,8.48E-01,1.96E+00,5.97E+03,3.05E+03,1.70E-01,2.68E+00,8.48E-01,2.97E-01,2.00E+00
254,2.17E+03,2.90E+03,1.47E+03,7.41E+01,3.14E-01,2.18E+00,4.16E-01,1.00E+00,1.98E+00,6.34E+03,3.20E+03,2.91E-01,2.70E+00,9.09E-01,2.88E-01,4.00E+00
255,2.32E+03,3.36E+03,1.63E+03,6.52E+01,2.67E-01,2.21E+00,1.00E+00,1.00E+00,2.06E+00,7.42E+03,3.60E+03,1.91E-01,2.68E+00,1.09E+00,2.97E-01,1.00E+00
256,2.14E+03,2.48E+03,9.52E+02,8.72E+01,4.31E-01,2.30E+00,1.00E+00,1.00E+00,2.60E+00,5.70E+03,2.19E+03,4.40E-01,2.72E+00,1.09E+00,2.58E-01,4.00E+00
257,2.23E+03,2.49E+03,9.59E+02,7.22E+01,3.66E-01,2.19E+00,1.00E+00,1.00E+00,2.59E+00,5.44E+03,2.10E+03,2.70E-01,2.69E+00,1.09E+00,3.16E-01,4.00E+00
258,2.40E+03,3.11E+03,1.50E+03,6.42E+01,3.05E-01,2.17E+00,1.00E+00,1.00E+00,2.08E+00,6.75E+03,3.25E+03,1.80E-01,2.68E+00,1.09E+00,3.19E-01,1.00E+00
259,2.30E+03,3.22E+03,1.63E+03,5.96E+01,2.83E-01,2.19E+00,1.00E+00,1.00E+00,1.97E+00,7.05E+03,3.57E+03,1.27E-01,2.67E+00,1.09E+00,3.04E-01,1.00E+00
260,2.30E+03,3.08E+03,1.38E+03,6.62E+01,3.06E-01,2.22E+00,1.00E+00,1.00E+00,2.23E+00,6.82E+03,3.07E+03,2.02E-01,2.68E+00,1.09E+00,2.93E-01,4.00E+00
261,2.20E+03,2.41E+03,8.59E+02,7.93E+01,4.16E-01,2.19E+00,9.58E-01,1.00E+00,2.81E+00,5.28E+03,1.88E+03,3.51E-01,2.71E+00,1.08E+00,3.17E-01,4.00E+00
262,2.40E+03,3.14E+03,1.52E+03,6.53E+01,2.95E-01,2.18E+00,1.00E+00,1.00E+00,2.06E+00,6.83E+03,3.31E+03,1.93E-01,2.68E+00,1.09E+00,3.17E-01,1.00E+00
263,2.36E+03,3.06E+03,1.43E+03,6.26E+01,2.95E-01,2.18E+00,1.00E+00,1.00E+00,2.14E+00,6.67E+03,3.12E+03,1.61E-01,2.68E+00,1.09E+00,3.11E-01,1.00E+00
264,2.22E+03,2.82E+03,1.19E+03,7.21E+01,3.09E-01,2.20E+00,9.36E-01,1.00E+00,2.37E+00,6.22E+03,2.62E+03,2.69E-01,2.69E+00,1.07E+00,3.03E-01,4.00E+00
265,2.25E+03,2.88E+03,1.33E+03,6.38E+01,3.11E-01,2.12E+00,9.97E-01,1.00E+00,2.16E+00,6.10E+03,2.82E+03,1.75E-01,2.68E+00,1.09E+00,3.52E-01,1.00E+00
266,2.32E+03,3.16E+03,1.53E+03,6.82E+01,2.75E-01,2.23E+00,1.00E+00,1.00E+00,2.07E+00,7.05E+03,3.41E+03,2.25E-01,2.69E+00,1.09E+00,2.87E-01,4.00E+00
267,2.32E+03,3.34E+03,1.69E+03,5.82E+01,2.70E-01,2.21E+00,1.00E+00,1.00E+00,1.97E+00,7.39E+03,3.75E+03,1.11E-01,2.67E+00,1.09E+00,2.90E-01,1.00E+00
268,2.35E+03,3.06E+03,1.44E+03,6.76E+01,2.84E-01,2.20E+00,1.00E+00,1.00E+00,2.13E+00,6.75E+03,3.17E+03,2.18E-01,2.68E+00,1.09E+00,3.02E-01,4.00E+00
269,2.15E+03,2.36E+03,9.43E+02,8.18E+01,4.26E-01,2.27E+00,1.00E+00,1.00E+00,2.51E+00,5.35E+03,2.14E+03,3.79E-01,2.71E+00,1.09E+00,2.75E-01,4.00E+00
270,2.25E+03,3.09E+03,1.50E+03,5.89E+01,3.41E-01,2.14E+00,1.00E+00,1.00E+00,2.07E+00,6.62E+03,3.20E+03,1.19E-01,2.67E+00,1.09E+00,3.35E-01,1.00E+00
271,2.21E+03,2.81E+03,1.14E+03,7.42E+01,3.31E-01,2.23E+00,9.85E-01,1.00E+00,2.46E+00,6.27E+03,2.55E+03,2.93E-01,2.70E+00,1.09E+00,2.87E-01,4.00E+00
272,2.30E+03,3.14E+03,1.52E+03,8.70E+01,3.09E-01,2.34E+00,1.00E+00,1.00E+00,2.07E+00,7.36E+03,3.55E+03,4.38E-01,2.72E+00,1.09E+00,2.33E-01,4.00E+00
