Samples,DEPTH,VP,VS,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOfluid,PHI,LFC
1158,2.36E+03,3.05E+03,1.41E+03,6.23E+01,3.13E-01,2.19E+00,1.00E+00,1.00E+00,2.16E+00,6.66E+03,3.08E+03,1.58E-01,2.68E+00,1.09E+00,3.09E-01,1.00E+00
1159,2.35E+03,3.16E+03,1.44E+03,6.10E+01,2.94E-01,2.18E+00,1.00E+00,1.00E+00,2.20E+00,6.89E+03,3.13E+03,1.43E-01,2.67E+00,1.09E+00,3.11E-01,1.00E+00
1160,2.35E+03,3.15E+03,1.51E+03,6.52E+01,3.01E-01,2.19E+00,1.00E+00,1.00E+00,2.08E+00,6.89E+03,3.32E+03,1.91E-01,2.68E+00,1.09E+00,3.08E-01,1.00E+00
1161,2.18E+03,2.89E+03,1.43E+03,6.88E+01,3.13E-01,2.12E+00,4.50E-01,9.01E-01,2.02E+00,6.12E+03,3.02E+03,2.31E-01,2.69E+00,9.20E-01,3.21E-01,4.00E+00
1162,2.40E+03,3.10E+03,1.49E+03,6.49E+01,3.01E-01,2.18E+00,1.00E+00,1.00E+00,2.07E+00,6.75E+03,3.25E+03,1.88E-01,2.68E+00,1.09E+00,3.16E-01,1.00E+00
1163,2.26E+03,2.95E+03,1.47E+03,5.88E+01,3.05E-01,2.18E+00,1.00E+00,1.00E+00,2.01E+00,6.43E+03,3.20E+03,1.18E-01,2.67E+00,1.09E+00,3.10E-01,1.00E+00
1164,2.17E+03,2.91E+03,1.41E+03,6.32E+01,3.13E-01,2.15E+00,2.72E-01,9.69E-01,2.06E+00,6.25E+03,3.03E+03,1.68E-01,2.68E+00,8.64E-01,2.90E-01,2.00E+00
1165,2.12E+03,2.47E+03,1.06E+03,9.36E+01,3.28E-01,2.29E+00,1.00E+00,9.80E-01,2.33E+00,5.66E+03,2.43E+03,5.13E-01,2.73E+00,1.09E+00,2.70E-01,4.00E+00
1166,2.29E+03,3.35E+03,1.65E+03,6.42E+01,2.83E-01,2.21E+00,1.00E+00,1.00E+00,2.03E+00,7.39E+03,3.63E+03,1.79E-01,2.68E+00,1.09E+00,2.97E-01,1.00E+00
1167,2.28E+03,3.26E+03,1.62E+03,6.62E+01,2.75E-01,2.21E+00,1.00E+00,1.00E+00,2.01E+00,7.21E+03,3.59E+03,2.03E-01,2.68E+00,1.09E+00,2.96E-01,4.00E+00
1168,2.10E+03,2.37E+03,9.86E+02,8.69E+01,4.11E-01,2.28E+00,1.00E+00,9.89E-01,2.40E+00,5.40E+03,2.25E+03,4.37E-01,2.72E+00,1.09E+00,2.70E-01,4.00E+00
1169,2.33E+03,3.20E+03,1.61E+03,8.96E+01,3.41E-01,2.28E+00,1.00E+00,1.00E+00,1.99E+00,7.31E+03,3.68E+03,4.68E-01,2.72E+00,1.09E+00,2.70E-01,4.00E+00
1170,2.26E+03,3.06E+03,1.60E+03,5.84E+01,3.11E-01,2.17E+00,1.00E+00,1.00E+00,1.91E+00,6.64E+03,3.47E+03,1.14E-01,2.67E+00,1.09E+00,3.15E-01,1.00E+00
1171,2.40E+03,3.04E+03,1.45E+03,6.39E+01,2.97E-01,2.18E+00,1.00E+00,1.00E+00,2.10E+00,6.62E+03,3.16E+03,1.76E-01,2.68E+00,1.09E+00,3.14E-01,1.00E+00
1172,2.18E+03,2.88E+03,1.54E+03,7.47E+01,3.18E-01,2.18E+00,5.17E-01,9.92E-01,1.86E+00,6.26E+03,3.36E+03,2.99E-01,2.70E+00,9.40E-01,2.97E-01,4.00E+00
1173,2.33E+03,3.24E+03,1.62E+03,6.09E+01,2.68E-01,2.21E+00,1.00E+00,1.00E+00,2.00E+00,7.16E+03,3.58E+03,1.42E-01,2.67E+00,1.09E+00,2.93E-01,1.00E+00
1174,2.20E+03,2.46E+03,9.68E+02,8.82E+01,3.26E-01,2.22E+00,9.53E-01,1.00E+00,2.54E+00,5.45E+03,2.15E+03,4.52E-01,2.72E+00,1.08E+00,3.06E-01,4.00E+00
1175,2.34E+03,3.27E+03,1.52E+03,6.57E+01,2.62E-01,2.24E+00,1.00E+00,1.00E+00,2.14E+00,7.32E+03,3.41E+03,1.96E-01,2.68E+00,1.09E+00,2.76E-01,1.00E+00
1176,2.26E+03,3.18E+03,1.59E+03,6.43E+01,3.13E-01,2.15E+00,1.00E+00,1.00E+00,1.99E+00,6.84E+03,3.43E+03,1.80E-01,2.68E+00,1.09E+00,3.32E-01,1.00E+00
1177,2.36E+03,3.07E+03,1.36E+03,6.13E+01,2.60E-01,2.21E+00,9.83E-01,1.00E+00,2.26E+00,6.77E+03,2.99E+03,1.47E-01,2.67E+00,1.08E+00,2.94E-01,1.00E+00
1178,2.33E+03,3.11E+03,1.65E+03,6.41E+01,2.78E-01,2.17E+00,6.92E-01,9.47E-01,1.88E+00,6.75E+03,3.59E+03,1.78E-01,2.68E+00,9.95E-01,3.03E-01,2.00E+00
1179,2.25E+03,2.56E+03,9.95E+02,7.69E+01,3.66E-01,2.25E+00,1.00E+00,1.00E+00,2.57E+00,5.75E+03,2.24E+03,3.23E-01,2.70E+00,1.09E+00,2.80E-01,4.00E+00
1180,2.38E+03,3.11E+03,1.45E+03,6.40E+01,2.94E-01,2.18E+00,1.00E+00,1.00E+00,2.14E+00,6.78E+03,3.16E+03,1.77E-01,2.68E+00,1.09E+00,3.16E-01,1.00E+00
1181,2.14E+03,2.52E+03,1.03E+03,8.57E+01,4.67E-01,2.27E+00,1.00E+00,1.00E+00,2.43E+00,5.71E+03,2.35E+03,4.24E-01,2.72E+00,1.09E+00,2.74E-01,4.00E+00
1182,2.22E+03,2.62E+03,1.23E+03,7.74E+01,3.91E-01,2.19E+00,1.00E+00,1.00E+00,2.12E+00,5.74E+03,2.71E+03,3.29E-01,2.70E+00,1.09E+00,3.16E-01,4.00E+00
1183,2.34E+03,3.22E+03,1.50E+03,6.63E+01,2.63E-01,2.23E+00,1.00E+00,1.00E+00,2.15E+00,7.20E+03,3.34E+03,2.03E-01,2.68E+00,1.09E+00,2.82E-01,4.00E+00
1184,2.13E+03,2.34E+03,8.77E+02,9.11E+01,4.81E-01,2.25E+00,1.00E+00,1.00E+00,2.67E+00,5.26E+03,1.97E+03,4.84E-01,2.73E+00,1.09E+00,2.94E-01,4.00E+00
1185,2.10E+03,2.35E+03,9.62E+02,9.61E+01,4.34E-01,2.25E+00,1.00E+00,9.01E-01,2.44E+00,5.29E+03,2.17E+03,5.41E-01,2.74E+00,1.09E+00,2.95E-01,4.00E+00
1186,2.37E+03,3.11E+03,1.44E+03,6.57E+01,2.96E-01,2.17E+00,1.00E+00,1.00E+00,2.16E+00,6.74E+03,3.13E+03,1.96E-01,2.68E+00,1.09E+00,3.22E-01,1.00E+00
1187,2.17E+03,2.27E+03,9.83E+02,7.66E+01,4.20E-01,2.09E+00,3.53E-01,7.71E-01,2.31E+00,4.75E+03,2.06E+03,3.20E-01,2.70E+00,8.89E-01,3.36E-01,4.00E+00
1188,2.39E+03,3.03E+03,1.38E+03,6.36E+01,2.94E-01,2.18E+00,1.00E+00,1.00E+00,2.19E+00,6.59E+03,3.01E+03,1.73E-01,2.68E+00,1.09E+00,3.14E-01,1.00E+00
1189,2.31E+03,3.28E+03,1.65E+03,5.70E+01,2.98E-01,2.18E+00,1.00E+00,1.00E+00,1.99E+00,7.16E+03,3.60E+03,9.82E-02,2.67E+00,1.09E+00,3.08E-01,1.00E+00
1190,2.14E+03,2.39E+03,9.64E+02,8.94E+01,4.72E-01,2.27E+00,1.00E+00,1.00E+00,2.48E+00,5.42E+03,2.18E+03,4.65E-01,2.72E+00,1.09E+00,2.80E-01,4.00E+00
1191,2.11E+03,2.31E+03,9.39E+02,8.53E+01,4.11E-01,2.24E+00,1.00E+00,1.00E+00,2.46E+00,5.19E+03,2.11E+03,4.19E-01,2.72E+00,1.09E+00,2.91E-01,4.00E+00
1192,2.21E+03,2.64E+03,1.06E+03,8.06E+01,3.27E-01,2.25E+00,1.00E+00,1.00E+00,2.48E+00,5.95E+03,2.39E+03,3.65E-01,2.71E+00,1.09E+00,2.80E-01,4.00E+00
1193,2.26E+03,3.38E+03,1.49E+03,7.01E+01,3.06E-01,2.19E+00,1.00E+00,1.00E+00,2.26E+00,7.41E+03,3.28E+03,2.46E-01,2.69E+00,1.09E+00,3.09E-01,4.00E+00
1194,2.31E+03,3.33E+03,1.67E+03,5.77E+01,2.74E-01,2.19E+00,1.00E+00,1.00E+00,1.99E+00,7.27E+03,3.65E+03,1.06E-01,2.67E+00,1.09E+00,3.05E-01,1.00E+00
1195,2.17E+03,2.88E+03,1.46E+03,6.23E+01,3.05E-01,2.12E+00,2.03E-01,9.09E-01,1.98E+00,6.11E+03,3.09E+03,1.58E-01,2.68E+00,8.43E-01,3.03E-01,2.00E+00
1196,2.35E+03,3.05E+03,1.41E+03,5.94E+01,2.78E-01,2.19E+00,1.00E+00,1.00E+00,2.17E+00,6.69E+03,3.08E+03,1.25E-01,2.67E+00,1.09E+00,3.05E-01,1.00E+00
1197,2.40E+03,3.01E+03,1.44E+03,6.19E+01,3.00E-01,2.16E+00,1.00E+00,1.00E+00,2.09E+00,6.51E+03,3.11E+03,1.54E-01,2.67E+00,1.09E+00,3.22E-01,1.00E+00
1198,2.20E+03,2.67E+03,1.14E+03,8.38E+01,4.02E-01,2.24E+00,1.00E+00,1.00E+00,2.35E+00,5.98E+03,2.55E+03,4.02E-01,2.71E+00,1.09E+00,2.92E-01,4.00E+00
1199,2.38E+03,3.06E+03,1.53E+03,6.46E+01,2.98E-01,2.17E+00,1.00E+00,1.00E+00,2.00E+00,6.65E+03,3.32E+03,1.84E-01,2.68E+00,1.09E+00,3.20E-01,1.00E+00
1200,2.20E+03,2.66E+03,1.10E+03,7.90E+01,2.99E-01,2.14E+00,9.55E-01,9.95E-01,2.41E+00,5.70E+03,2.36E+03,3.48E-01,2.71E+00,1.08E+00,3.47E-01,4.00E+00
1201,2.40E+03,3.13E+03,1.40E+03,6.48E+01,2.91E-01,2.18E+00,1.00E+00,1.00E+00,2.23E+00,6.80E+03,3.05E+03,1.86E-01,2.68E+00,1.09E+00,3.16E-01,1.00E+00
1202,2.29E+03,3.30E+03,1.60E+03,6.15E+01,2.58E-01,2.23E+00,1.00E+00,1.00E+00,2.06E+00,7.36E+03,3.57E+03,1.49E-01,2.67E+00,1.09E+00,2.82E-01,1.00E+00
1203,2.28E+03,3.26E+03,1.65E+03,6.25E+01,2.82E-01,2.20E+00,1.00E+00,1.00E+00,1.98E+00,7.16E+03,3.62E+03,1.61E-01,2.68E+00,1.09E+00,3.02E-01,1.00E+00
1204,2.32E+03,3.31E+03,1.68E+03,5.75E+01,2.58E-01,2.19E+00,1.00E+00,1.00E+00,1.97E+00,7.25E+03,3.68E+03,1.03E-01,2.67E+00,1.09E+00,3.00E-01,1.00E+00
1205,2.33E+03,3.18E+03,1.42E+03,6.31E+01,2.44E-01,2.25E+00,1.00E+00,1.00E+00,2.24E+00,7.15E+03,3.19E+03,1.67E-01,2.68E+00,1.09E+00,2.67E-01,1.00E+00
1206,2.35E+03,3.03E+03,1.50E+03,5.78E+01,2.02E-01,2.39E+00,1.00E+00,1.00E+00,2.02E+00,7.24E+03,3.58E+03,1.07E-01,2.67E+00,1.09E+00,1.76E-01,1.00E+00
1207,2.30E+03,3.00E+03,1.35E+03,5.60E+01,3.09E-01,2.16E+00,1.00E+00,1.00E+00,2.23E+00,6.47E+03,2.91E+03,8.61E-02,2.66E+00,1.09E+00,3.23E-01,1.00E+00
1208,2.37E+03,3.14E+03,1.44E+03,7.34E+01,2.94E-01,2.25E+00,1.00E+00,1.00E+00,2.18E+00,7.06E+03,3.23E+03,2.84E-01,2.70E+00,1.09E+00,2.78E-01,4.00E+00
1209,2.22E+03,2.94E+03,1.31E+03,7.50E+01,3.70E-01,2.16E+00,1.00E+00,1.00E+00,2.25E+00,6.35E+03,2.83E+03,3.02E-01,2.70E+00,1.09E+00,3.34E-01,4.00E+00
1210,2.34E+03,3.17E+03,1.47E+03,6.76E+01,2.76E-01,2.22E+00,1.00E+00,1.00E+00,2.16E+00,7.05E+03,3.26E+03,2.18E-01,2.68E+00,1.09E+00,2.90E-01,4.00E+00
1211,2.12E+03,2.43E+03,1.04E+03,1.02E+02,3.88E-01,2.29E+00,1.00E+00,9.64E-01,2.34E+00,5.58E+03,2.38E+03,6.14E-01,2.75E+00,1.09E+00,2.74E-01,4.00E+00
1212,2.25E+03,2.65E+03,1.06E+03,8.58E+01,3.85E-01,2.19E+00,9.60E-01,1.00E+00,2.50E+00,5.80E+03,2.32E+03,4.25E-01,2.72E+00,1.08E+00,3.20E-01,4.00E+00
1213,2.28E+03,3.29E+03,1.69E+03,7.01E+01,3.04E-01,2.26E+00,1.00E+00,1.00E+00,1.95E+00,7.43E+03,3.81E+03,2.46E-01,2.69E+00,1.09E+00,2.69E-01,4.00E+00
1214,2.23E+03,2.92E+03,1.26E+03,6.49E+01,3.20E-01,2.13E+00,1.00E+00,1.00E+00,2.32E+00,6.22E+03,2.68E+03,1.87E-01,2.68E+00,1.09E+00,3.48E-01,1.00E+00
1215,2.35E+03,3.03E+03,1.38E+03,6.05E+01,2.95E-01,2.17E+00,1.00E+00,1.00E+00,2.20E+00,6.56E+03,2.98E+03,1.38E-01,2.67E+00,1.09E+00,3.20E-01,1.00E+00
1216,2.23E+03,2.29E+03,9.31E+02,8.82E+01,3.57E-01,2.24E+00,1.00E+00,1.00E+00,2.45E+00,5.12E+03,2.09E+03,4.52E-01,2.72E+00,1.09E+00,2.95E-01,4.00E+00
1217,2.24E+03,2.57E+03,1.02E+03,7.10E+01,3.18E-01,2.15E+00,8.80E-01,1.00E+00,2.52E+00,5.54E+03,2.20E+03,2.57E-01,2.69E+00,1.05E+00,3.28E-01,4.00E+00
1218,2.12E+03,2.49E+03,1.08E+03,8.74E+01,3.48E-01,2.29E+00,1.00E+00,9.36E-01,2.30E+00,5.70E+03,2.49E+03,4.43E-01,2.72E+00,1.09E+00,2.63E-01,4.00E+00
1219,2.38E+03,3.14E+03,1.57E+03,6.36E+01,2.91E-01,2.22E+00,1.00E+00,1.00E+00,2.00E+00,6.97E+03,3.48E+03,1.73E-01,2.68E+00,1.09E+00,2.87E-01,1.00E+00
1220,2.37E+03,3.25E+03,1.56E+03,5.97E+01,3.29E-01,2.18E+00,1.00E+00,1.00E+00,2.09E+00,7.10E+03,3.40E+03,1.29E-01,2.67E+00,1.09E+00,3.07E-01,1.00E+00
1221,2.18E+03,2.90E+03,1.39E+03,6.92E+01,3.04E-01,2.13E+00,2.77E-01,8.78E-01,2.09E+00,6.19E+03,2.96E+03,2.36E-01,2.69E+00,8.66E-01,3.06E-01,4.00E+00
1222,2.27E+03,3.15E+03,1.51E+03,6.40E+01,3.05E-01,2.17E+00,1.00E+00,1.00E+00,2.09E+00,6.83E+03,3.27E+03,1.77E-01,2.68E+00,1.09E+00,3.21E-01,1.00E+00
1223,2.29E+03,3.18E+03,1.58E+03,5.72E+01,2.74E-01,2.20E+00,1.00E+00,1.00E+00,2.01E+00,6.98E+03,3.47E+03,9.99E-02,2.67E+00,1.09E+00,2.99E-01,1.00E+00
1224,2.35E+03,3.19E+03,1.49E+03,5.70E+01,3.00E-01,2.19E+00,1.00E+00,1.00E+00,2.14E+00,6.97E+03,3.26E+03,9.84E-02,2.67E+00,1.09E+00,3.03E-01,1.00E+00
1225,2.12E+03,2.45E+03,1.05E+03,1.05E+02,4.06E-01,2.31E+00,1.00E+00,1.00E+00,2.34E+00,5.66E+03,2.42E+03,6.39E-01,2.75E+00,1.09E+00,2.69E-01,4.00E+00
1226,2.32E+03,3.28E+03,1.49E+03,6.34E+01,2.95E-01,2.21E+00,1.00E+00,1.00E+00,2.21E+00,7.24E+03,3.28E+03,1.71E-01,2.68E+00,1.09E+00,2.94E-01,1.00E+00
1227,2.32E+03,3.29E+03,1.71E+03,6.38E+01,2.72E-01,2.20E+00,1.00E+00,1.00E+00,1.92E+00,7.23E+03,3.77E+03,1.75E-01,2.68E+00,1.09E+00,3.00E-01,1.00E+00
1228,2.19E+03,2.86E+03,1.23E+03,7.09E+01,3.52E-01,2.18E+00,9.24E-01,1.00E+00,2.34E+00,6.23E+03,2.67E+03,2.56E-01,2.69E+00,1.07E+00,3.17E-01,4.00E+00
1229,2.37E+03,3.07E+03,1.44E+03,6.36E+01,2.91E-01,2.18E+00,1.00E+00,1.00E+00,2.13E+00,6.68E+03,3.13E+03,1.73E-01,2.68E+00,1.09E+00,3.15E-01,1.00E+00
1230,2.27E+03,2.93E+03,1.42E+03,7.75E+01,3.23E-01,2.29E+00,1.00E+00,1.00E+00,2.06E+00,6.71E+03,3.26E+03,3.31E-01,2.70E+00,1.09E+00,2.57E-01,4.00E+00
1231,2.11E+03,2.31E+03,9.14E+02,9.22E+01,4.35E-01,2.26E+00,1.00E+00,1.00E+00,2.53E+00,5.23E+03,2.07E+03,4.98E-01,2.73E+00,1.09E+00,2.86E-01,4.00E+00
1232,2.12E+03,2.50E+03,1.09E+03,9.17E+01,3.65E-01,2.29E+00,1.00E+00,8.99E-01,2.30E+00,5.73E+03,2.49E+03,4.92E-01,2.73E+00,1.09E+00,2.66E-01,4.00E+00
1233,2.16E+03,2.53E+03,1.22E+03,5.49E+01,3.49E-01,2.07E+00,2.88E-01,7.67E-01,2.07E+00,5.23E+03,2.53E+03,7.37E-02,2.66E+00,8.69E-01,3.31E-01,2.00E+00
1234,2.39E+03,2.93E+03,1.27E+03,6.53E+01,3.24E-01,2.15E+00,1.00E+00,1.00E+00,2.31E+00,6.32E+03,2.74E+03,1.92E-01,2.68E+00,1.09E+00,3.31E-01,1.00E+00
1235,2.13E+03,2.29E+03,8.74E+02,9.32E+01,4.87E-01,2.24E+00,1.00E+00,1.00E+00,2.62E+00,5.11E+03,1.95E+03,5.09E-01,2.73E+00,1.09E+00,3.02E-01,4.00E+00
1236,2.38E+03,3.09E+03,1.43E+03,6.84E+01,3.04E-01,2.18E+00,1.00E+00,1.00E+00,2.17E+00,6.73E+03,3.10E+03,2.27E-01,2.69E+00,1.09E+00,3.20E-01,4.00E+00
1237,2.27E+03,3.08E+03,1.39E+03,7.88E+01,2.69E-01,2.26E+00,1.00E+00,1.00E+00,2.22E+00,6.96E+03,3.14E+03,3.45E-01,2.71E+00,1.09E+00,2.74E-01,4.00E+00
1238,2.36E+03,3.32E+03,1.46E+03,7.05E+01,2.90E-01,2.19E+00,9.84E-01,1.00E+00,2.28E+00,7.29E+03,3.20E+03,2.52E-01,2.69E+00,1.08E+00,3.09E-01,4.00E+00
1239,2.10E+03,2.38E+03,9.78E+02,9.97E+01,4.22E-01,2.26E+00,1.00E+00,9.99E-01,2.43E+00,5.37E+03,2.21E+03,5.82E-01,2.74E+00,1.09E+00,2.93E-01,4.00E+00
1240,2.25E+03,3.50E+03,1.49E+03,6.64E+01,3.22E-01,2.16E+00,9.33E-01,1.00E+00,2.35E+00,7.55E+03,3.21E+03,2.04E-01,2.68E+00,1.07E+00,3.27E-01,4.00E+00
1241,2.37E+03,3.16E+03,1.42E+03,6.03E+01,2.82E-01,2.19E+00,1.00E+00,1.00E+00,2.23E+00,6.92E+03,3.10E+03,1.35E-01,2.67E+00,1.09E+00,3.04E-01,1.00E+00
1242,2.26E+03,3.04E+03,1.26E+03,8.41E+01,3.70E-01,2.18E+00,1.00E+00,1.00E+00,2.42E+00,6.62E+03,2.74E+03,4.05E-01,2.71E+00,1.09E+00,3.29E-01,4.00E+00
1243,2.17E+03,2.75E+03,1.43E+03,6.29E+01,3.11E-01,2.14E+00,2.21E-01,8.71E-01,1.93E+00,5.89E+03,3.06E+03,1.65E-01,2.68E+00,8.49E-01,2.95E-01,2.00E+00
1244,2.14E+03,2.30E+03,9.43E+02,9.02E+01,4.17E-01,2.24E+00,1.00E+00,1.00E+00,2.44E+00,5.16E+03,2.12E+03,4.75E-01,2.73E+00,1.09E+00,2.95E-01,4.00E+00
1245,2.30E+03,3.09E+03,1.44E+03,7.92E+01,3.14E-01,2.19E+00,1.00E+00,1.00E+00,2.15E+00,6.76E+03,3.15E+03,3.50E-01,2.71E+00,1.09E+00,3.20E-01,4.00E+00
1246,2.24E+03,2.69E+03,1.12E+03,6.52E+01,3.45E-01,2.08E+00,9.91E-01,1.00E+00,2.40E+00,5.61E+03,2.34E+03,1.91E-01,2.68E+00,1.09E+00,3.75E-01,1.00E+00
1247,2.36E+03,3.05E+03,1.38E+03,5.76E+01,2.71E-01,2.20E+00,1.00E+00,1.00E+00,2.21E+00,6.73E+03,3.04E+03,1.04E-01,2.67E+00,1.09E+00,2.94E-01,1.00E+00
1248,2.23E+03,2.42E+03,1.15E+03,8.62E+01,4.47E-01,2.18E+00,1.00E+00,1.00E+00,2.10E+00,5.27E+03,2.51E+03,4.29E-01,2.72E+00,1.09E+00,3.34E-01,4.00E+00
1249,2.34E+03,3.18E+03,1.52E+03,7.43E+01,2.98E-01,2.21E+00,1.00E+00,1.00E+00,2.10E+00,7.03E+03,3.35E+03,2.94E-01,2.70E+00,1.09E+00,3.04E-01,4.00E+00
1250,2.38E+03,3.03E+03,1.44E+03,6.83E+01,2.90E-01,2.16E+00,1.00E+00,1.00E+00,2.10E+00,6.54E+03,3.11E+03,2.26E-01,2.69E+00,1.09E+00,3.29E-01,4.00E+00
1251,2.20E+03,2.87E+03,1.22E+03,8.58E+01,3.35E-01,2.26E+00,9.08E-01,1.00E+00,2.35E+00,6.48E+03,2.76E+03,4.25E-01,2.72E+00,1.06E+00,2.75E-01,4.00E+00
1252,2.15E+03,2.52E+03,1.10E+03,8.05E+01,3.20E-01,2.30E+00,1.00E+00,1.00E+00,2.29E+00,5.78E+03,2.53E+03,3.64E-01,2.71E+00,1.09E+00,2.53E-01,4.00E+00
1253,2.36E+03,3.06E+03,1.46E+03,6.14E+01,3.07E-01,2.18E+00,1.00E+00,1.00E+00,2.10E+00,6.68E+03,3.18E+03,1.48E-01,2.67E+00,1.09E+00,3.10E-01,1.00E+00
1254,2.14E+03,2.37E+03,9.52E+02,1.01E+02,4.25E-01,2.27E+00,1.00E+00,1.00E+00,2.48E+00,5.36E+03,2.16E+03,6.03E-01,2.75E+00,1.09E+00,2.90E-01,4.00E+00
1255,2.35E+03,3.11E+03,1.45E+03,6.37E+01,2.90E-01,2.18E+00,1.00E+00,1.00E+00,2.14E+00,6.77E+03,3.17E+03,1.74E-01,2.68E+00,1.09E+00,3.15E-01,1.00E+00
1256,2.30E+03,3.08E+03,1.38E+03,6.93E+01,3.04E-01,2.23E+00,1.00E+00,1.00E+00,2.22E+00,6.88E+03,3.09E+03,2.38E-01,2.69E+00,1.09E+00,2.84E-01,4.00E+00
1257,2.32E+03,3.30E+03,1.69E+03,6.13E+01,2.83E-01,2.19E+00,1.00E+00,1.00E+00,1.96E+00,7.23E+03,3.70E+03,1.47E-01,2.67E+00,1.09E+00,3.03E-01,1.00E+00
1258,2.12E+03,2.51E+03,1.08E+03,8.84E+01,4.25E-01,2.28E+00,1.00E+00,8.84E-01,2.32E+00,5.73E+03,2.47E+03,4.54E-01,2.72E+00,1.09E+00,2.69E-01,4.00E+00
1259,2.17E+03,2.90E+03,1.45E+03,6.33E+01,3.29E-01,2.12E+00,1.97E-01,8.36E-01,2.00E+00,6.16E+03,3.08E+03,1.69E-01,2.68E+00,8.41E-01,3.02E-01,2.00E+00
1260,2.20E+03,2.66E+03,1.10E+03,8.34E+01,3.33E-01,2.15E+00,9.66E-01,1.00E+00,2.41E+00,5.72E+03,2.37E+03,3.97E-01,2.71E+00,1.08E+00,3.44E-01,4.00E+00
1261,2.40E+03,3.10E+03,1.52E+03,6.90E+01,2.96E-01,2.18E+00,1.00E+00,1.00E+00,2.04E+00,6.76E+03,3.31E+03,2.35E-01,2.69E+00,1.09E+00,3.16E-01,4.00E+00
1262,2.38E+03,3.12E+03,1.46E+03,6.28E+01,2.94E-01,2.17E+00,1.00E+00,1.00E+00,2.14E+00,6.76E+03,3.16E+03,1.64E-01,2.68E+00,1.09E+00,3.18E-01,1.00E+00
1263,2.18E+03,2.92E+03,1.59E+03,6.17E+01,3.04E-01,2.14E+00,4.62E-01,9.45E-01,1.84E+00,6.26E+03,3.41E+03,1.51E-01,2.67E+00,9.23E-01,3.04E-01,2.00E+00
1264,2.24E+03,2.86E+03,1.35E+03,6.54E+01,3.02E-01,2.13E+00,9.98E-01,1.00E+00,2.12E+00,6.09E+03,2.87E+03,1.93E-01,2.68E+00,1.09E+00,3.46E-01,1.00E+00
1265,2.17E+03,2.93E+03,1.39E+03,8.29E+01,3.62E-01,2.24E+00,5.56E-01,1.00E+00,2.11E+00,6.56E+03,3.11E+03,3.92E-01,2.71E+00,9.52E-01,2.67E-01,4.00E+00
1266,2.37E+03,3.12E+03,1.51E+03,6.74E+01,2.87E-01,2.22E+00,1.00E+00,1.00E+00,2.07E+00,6.92E+03,3.35E+03,2.16E-01,2.68E+00,1.09E+00,2.94E-01,4.00E+00
1267,2.28E+03,3.22E+03,1.63E+03,7.74E+01,3.29E-01,2.29E+00,1.00E+00,1.00E+00,1.98E+00,7.37E+03,3.73E+03,3.29E-01,2.70E+00,1.09E+00,2.58E-01,4.00E+00
1268,2.12E+03,2.39E+03,1.03E+03,8.39E+01,3.63E-01,2.27E+00,1.00E+00,1.00E+00,2.33E+00,5.41E+03,2.33E+03,4.03E-01,2.71E+00,1.09E+00,2.75E-01,4.00E+00
1269,2.36E+03,3.06E+03,1.47E+03,6.19E+01,2.82E-01,2.18E+00,1.00E+00,1.00E+00,2.09E+00,6.69E+03,3.20E+03,1.54E-01,2.67E+00,1.09E+00,3.10E-01,1.00E+00
1270,2.39E+03,3.07E+03,1.45E+03,5.60E+01,2.72E-01,2.22E+00,1.00E+00,1.00E+00,2.11E+00,6.81E+03,3.22E+03,8.69E-02,2.66E+00,1.09E+00,2.81E-01,1.00E+00
1271,2.16E+03,2.57E+03,1.19E+03,5.64E+01,3.44E-01,2.08E+00,2.93E-01,7.81E-01,2.15E+00,5.33E+03,2.48E+03,9.12E-02,2.66E+00,8.71E-01,3.28E-01,2.00E+00
1272,2.25E+03,2.55E+03,1.04E+03,6.79E+01,3.26E-01,2.13E+00,9.07E-01,1.00E+00,2.45E+00,5.42E+03,2.21E+03,2.21E-01,2.69E+00,1.06E+00,3.42E-01,4.00E+00
1273,2.38E+03,3.05E+03,1.41E+03,6.23E+01,2.92E-01,2.18E+00,1.00E+00,1.00E+00,2.17E+00,6.64E+03,3.07E+03,1.58E-01,2.68E+00,1.09E+00,3.12E-01,1.00E+00
1274,2.20E+03,2.44E+03,9.46E+02,8.59E+01,3.53E-01,2.20E+00,9.34E-01,1.00E+00,2.58E+00,5.38E+03,2.08E+03,4.26E-01,2.72E+00,1.07E+00,3.12E-01,4.00E+00
1275,2.31E+03,3.16E+03,1.60E+03,6.23E+01,2.81E-01,2.19E+00,1.00E+00,1.00E+00,1.98E+00,6.91E+03,3.50E+03,1.58E-01,2.68E+00,1.09E+00,3.06E-01,1.00E+00
1276,2.17E+03,2.80E+03,1.49E+03,6.63E+01,2.97E-01,2.14E+00,2.11E-01,8.78E-01,1.87E+00,5.98E+03,3.19E+03,2.03E-01,2.68E+00,8.45E-01,2.97E-01,4.00E+00
1277,2.31E+03,3.29E+03,1.68E+03,5.99E+01,2.69E-01,2.19E+00,1.00E+00,1.00E+00,1.95E+00,7.21E+03,3.69E+03,1.30E-01,2.67E+00,1.09E+00,3.03E-01,1.00E+00
1278,2.13E+03,2.29E+03,8.45E+02,8.82E+01,5.26E-01,2.25E+00,1.00E+00,1.00E+00,2.71E+00,5.15E+03,1.90E+03,4.52E-01,2.72E+00,1.09E+00,2.92E-01,4.00E+00
